English	French	Description	Topic Area
in decreasing powers of s	en puissance décroissante de s		Control
infinity	l’infini		Mathematics
information loss	la perte d'information		Electrical engineering
initial conditions	les conditions initiales		Control
initial state	un état initial		Control
initially	initialement 		Process Engineering
input	entrée		Control
integration	l’intégration		Mathematics
inverse response, or 'initial undershoot'	un départ malin		Control
lag compensator	un régulateur avec retard de phase		Control
Laplace domain	le plan de Laplace		Mathematics
Laplace transform	la transformée de Laplace 		Mathematics
lead compensator	un régulateur avec avance de phase		Control
least squares	des moindres carrés		Statistics & probability
limit	La borne		Mathematics
linear function	une fonction linéaire		Mathematics
linear operation	une opération linéaire		Mathematics
linear system	un système linéaire		Control
load	une charge		Mechanical engineering
Locus of Nichols chart	Le lieu de Black		Control
loop transfer function	la fonction de transfert de la boucle		Control
low frequencies	basses fréquences		Control
low pass filter	un filtre passe-bas		Electrical engineering
make-up water	l'eau d'appoint		Process Engineering
manipulatable variable 	la variable manipulée  		Control
manipulate	manipuler		Control
manipulation	la manipulation 		Control
mass balance	bilan de matière		Process Engineering
Maximum likelihood method	La méthode du maximum de vraisemblance		Control
measure	mesurer		Control
measurement	la mesure		Control
measurement noise	le bruit de mesure		Control
mixture	le mélange 		Process Engineering
modelling	modélisation		Mathematics
modulator	le variateur		Control
modulus	le module		Mathematics
moisture content of the material	le pourcentage massique d’humidité contenue dans le solide		Process Engineering
motor	le moteur		Electrical engineering
moving average (MA)	moyenne mobile		Control
natural frequency	la fréquence propre		Control
new state	un nouvel état		Control
Nichols plot / Black-Nichols chart	Le diagramme / L'abaque / Le plan de Black / Black et Nichols		Control
noise	le bruit		Control
nominal behavior	comportement nominal		Control
non-minimum phase system	un system à déphasage non-minimal		Control
one-sided	monolatérale		Mathematics
opening	l’ouverture 		Process Engineering
operating range	la plage de fonctionnement		Process Engineering
operating range	le plage de operation		Process Engineering
order	le degré		Mathematics
ordinary least squares	des moindres carrés ordinaires		Statistics & probability
origin	l'origine		Mathematics
output	la sortie		Control
over-damped	hyperamorti		Control
overshoot	le dépassement		Control
parameter perturbation	perturbation paramétrique		Control
percent solids	le pourcentage de solide 		Process Engineering
perfect anticipation	L’anticipation parfaite		Control
permanent	constant		Mathematics
phase	phase		Control
phase margin	la marge de phase		Control
phase shift	un déphasage		Control
pipe	le conduit		Process Engineering
pipe	le tuyau		Process Engineering
plant output 	sortie du procédé 		Control
pole	le pôle		Control
power	la puissance		Electrical engineering
power source	source de puissance		Electrical engineering
pressure drop	une chute de pression		Process Engineering
probability density function	la densité de probabilité		Statistics & probability
process	le procédé		Process Engineering
property of linear superposition	propriété de superposition linéaire		Mathematics
proportional-integral-derivative (PID) regulator	Le régulateur proportionnel-intégrale-dérivée (PID)		Control
pure delay system	un système retard pur		Control
Q factor	le facteur de surtension		Control
random variable	un variable aléatoire		Statistics & probability
rank (of a matrix)	le rang (d'une matrice)		Mathematics
ratio	le rapport		Mathematics
real	réelle		Mathematics
recurrent equation	une equation récurrente		Mathematics
regulation 	régulation 		Control
regulator	régulateur		Control
relative degree	le degré relatif		Control
remainder (of a division)	le reste (de la division)		Mathematics
resonant frequency	la fréquence de résonance		Control
respond / react	réagir		Control
response	la réponse 		Control
response time	le temps de réponse 		Control
rise time	le temps de montée		Control
robust	robuste		Control
roots	les racines 		Mathematics
rows and columns	les lignes et colonnes		Mathematics
sampled signal	un signal échantillonné		Electrical engineering
sampling	l'échantillonnage		Electrical engineering
sampling frequency	la fréquence d’échantillonnage		Electrical engineering
sampling period	la période d’échantillonnage		Electrical engineering
scaling	mise à l’échelle		Process Engineering
second derivative	la dérivée seconde		Mathematics
self-regulating	autorégulant		Control
sensitivity	le sensibilité		Control
sensor	le capteur		Control
sensor noise	le bruit de capteur		Control
setpoint	la consigne 		Control
setpoint change	un échelon de consigne		Control
setpoint tracking	en poursuite de la consigne		Control
shaft	l’arbre		Mechanical engineering
shift (time shift)	un décalage		Control
signal-to-noise ratio	le rapport signal sur bruit		Electrical engineering
silting	l'ensablement		Process Engineering
simple feedback	la simple retroaction.		Control
singular value decomposition	la décomposition en valeurs singulières 		Mathematics
sketch	esquisser		Mathematics
slope/gradient	la pente		Mathematics
solids fraction	la fraction solide		Process Engineering
solids percentage	le pourcentage massique		Process Engineering
specific gravity	la densité		Process Engineering
specific heat	le chaleur spécifique		Process Engineering
specifications	les spécifications		Control
spectral aliasing / frequency folding	le repliement spectral		Electrical engineering
spectral overlap	le recouvrement spectral		Electrical engineering
spectrum of a signal	le spectre d’un signal		Electrical engineering
spring-mass system	système masse-ressort		Control
stability	la stabilité 		Control
staggered	décalées		Control
standard deviation	l'écart type		Statistics & probability
standard error	 l’erreur type		Statistics & probability
state-space representation	le représentation d’état		Control
static gain	le gain statique		Control
stationarity	la stationnarité		Statistics & probability
steady state	régime permanent ou définitif		Control
steady-state error	erreur statique / erreur de position		Control
step	l'échelon		Mathematics
step response	réponse à l'échelon / réponse indicielle		Control
supply	alimenter		Electrical engineering
supply voltage	la tension fournie 		Electrical engineering
switch	l’interrupteur		Electrical engineering
system	un système		Control
tank	le réservoir 		Process Engineering
Taylor series	la série de Taylor		Mathematics
time constant	la constante de temps		Control
time invariant	invariants dans le temps		Control
time shift / lag	un décalage temporel		Electrical engineering
time-dependent	une fonction du temps		Control
timestep	le créneau		Control
tracking 	poursuite 		Control
trailing error, drag error(?)	erreur de traînage		Control
transfer function	la fonction de transfert		Control
transient regime	régime transitoire		Control
trouble-shooting	diagnostic des anomalies		Control
tuning	le réglage		Control
uncertainty	une incertitude		Mathematics
undamped natural frequency	la fréquence propre non amortie		Control
under-damped	sous-amorti		Control
unit circle	un cercle unitaire		Control
unit step	un échelon unitaire		Control
unit step function	l'échelon unitaire		Control
units	les unités		Mathematics
unstable	instable		Control
valve	la vanne		Process Engineering
variance	la variance		Statistics & probability
variations	les variations 		Control
velocity error	l'erreur de traînage / erreur de vitesse		Control
voltage	la tension		Electrical engineering
water addition	l’ajout d’eau		Process Engineering
water balance	bilan d'eau		Process Engineering
wear	l'usure		Mechanical engineering
well damped	bien amorti		Control
well designed	bien conçu 		Process Engineering
wind tunnel	soufflerie		Aeronautical Engineering
zero order hold (ZOH)	le bloqueur d’ordre zéro (BOZ)		Electrical engineering
z-plane	le plan z		Control
z-transform	la transformée en z		Control
